Transaction Range (KShs) Min,Transaction Range (KShs) Max,Agent Commissions (Registered Customers),Sub Agent 80% (Registered Customers)
0,100.99,4,3.2
101,510.99,8,6.4
511,1010.99,9,7.2
1011,1510.99,10,8.0
1511,2510.99,11,8.8
2511,3510.99,12,9.6
3511,5010.99,14,11.2
5011,7510.99,20,16.0
7511,10010.99,28,22.4
10011,15010.99,40,32.0
15011,20020.99,55,44.0
20021,25020.99,71,56.8
25021,30020.99,87,69.6
30021,35020.99,103,82.4
35021,40020.99,119,95.2
40021,45020.99,135,108.0
45021,50020.99,150,120.0
50021,70000.0,190,152.0
