Transaction Range (KShs) Min,Transaction Range (KShs) Max,Agent Commissions (Registered Customers),Sub Agent 80% (Registered Customers),Agent Commissions (Unregistered Customers),Sub Agent 80% (Unregistered Customers)
10,49,0,0.0,N/A,N/A
50,100,3,2.4,N/A,N/A
101,500,9,7.2,3,2.4
501,1000,9,7.2,3,2.4
1001,1500,9,7.2,3,2.4
1501,2500,9,7.2,3,2.4
2501,3500,16,12.8,16,12.8
3501,5000,21,16.8,21,16.8
5001,7500,27,21.6,27,21.6
7501,10000,36,28.8,36,28.8
10001,15000,45,36.0,52,41.6
15001,20000,57,45.6,57,45.6
20001,25000,61,48.8,61,48.8
25001,30000,61,48.8,61,48.8
35001,35000,61,48.8,61,48.8
40001,45000,86,68.8,N/A,N/A
45001,50000,86,68.8,N/A,N/A
50001,70000,95,76.0,N/A,N/A
