Agent Tariffs,Proposed_Comm_Deposit,Proposed_Comm_Withdrawal
50 to 100,4,4
101 to 500,8,9
"501 to 1,000",9,9
"1,001 to 1,500",10,10
"1,501 to 2,500",11,11
"2,501 to 3,500",12,12
"3,501 to 5,000",13,13
"5,001 to 7,500",20,20
"7,501 to 10,000",28,28
"10,001 to 15,000",40,40
"15,001 to 20,000",55,55
"20,001 to 25,000",71,71
"25,001 to 30,000",87,87
"30,001 to 35,000",103,103
"35,001 to 40,000",119,119
"40,001 to 45,000",135,135
"45,001 to 50,000",150,150
"50,001 to 70,000",190,95
"70,001 to 110,000",215,105
"110,001 to 150,000",240,115
"150,001 to 200,000",270,125
"200,001 to 250,000",300,135
